"Id","ProcessName","Path"
"3724","conhost","C:\WINDOWS\system32\conhost.exe"
"7448","conhost","C:\WINDOWS\system32\conhost.exe"
"2536","conhost","C:\WINDOWS\system32\conhost.exe"
"3516","conhost",
"10848","conhost","C:\WINDOWS\system32\conhost.exe"
"14740","conhost","C:\WINDOWS\system32\conhost.exe"
"17728","conhost","C:\WINDOWS\system32\conhost.exe"
"12044","conhost","C:\WINDOWS\system32\conhost.exe"
"12132","conhost","C:\WINDOWS\system32\conhost.exe"
"22904","crashhelper","C:\Program Files\Mozilla Firefox\crashhelper.exe"
"11576","CrossDeviceResume","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe"
"13272","CrossDeviceService","C:\Program Files\WindowsApps\MicrosoftWindows.CrossDevice_1.26071.84.0_x64__cw5n1h2txyewy\CrossDeviceService.exe"
"1484","csrss",
"1376","csrss",
"12744","ctfmon",
"15940","Cursor","C:\Users\Armin\AppData\Local\Programs\cursor\Cursor.exe"
"16760","Cursor","C:\Users\Armin\AppData\Local\Programs\cursor\Cursor.exe"
"14152","Cursor","C:\Users\Armin\AppData\Local\Programs\cursor\Cursor.exe"
"14244","Cursor","C:\Users\Armin\AppData\Local\Programs\cursor\Cursor.exe"
"23608","Cursor","C:\Users\Armin\AppData\Local\Programs\cursor\Cursor.exe"
"23952","Cursor","C:\Users\Armin\AppData\Local\Programs\cursor\Cursor.exe"
"19608","Cursor","C:\Users\Armin\AppData\Local\Programs\cursor\Cursor.exe"
"23224","Cursor","C:\Users\Armin\AppData\Local\Programs\cursor\Cursor.exe"
"2896","Cursor","C:\Users\Armin\AppData\Local\Programs\cursor\Cursor.exe"
"3708","Cursor","C:\Users\Armin\AppData\Local\Programs\cursor\Cursor.exe"
"2056","Cursor","C:\Users\Armin\AppData\Local\Programs\cursor\Cursor.exe"
"2088","Cursor","C:\Users\Armin\AppData\Local\Programs\cursor\Cursor.exe"
"10328","Cursor","C:\Users\Armin\AppData\Local\Programs\cursor\Cursor.exe"
"10480","Cursor","C:\Users\Armin\AppData\Local\Programs\cursor\Cursor.exe"
"4180","Cursor","C:\Users\Armin\AppData\Local\Programs\cursor\Cursor.exe"
"9920","Cursor","C:\Users\Armin\AppData\Local\Programs\cursor\Cursor.exe"
"9688","dasHost",
"29140","DataExchangeHost","C:\Windows\System32\DataExchangeHost.exe"
"8004","DAX3API",
"4684","DAX3API",
"20656","dllhost","C:\WINDOWS\system32\DllHost.exe"
"21564","dllhost","C:\WINDOWS\system32\DllHost.exe"
"24856","dllhost","C:\WINDOWS\system32\DllHost.exe"
"11480","dllhost","C:\WINDOWS\system32\DllHost.exe"
"17320","dllhost","C:\WINDOWS\SysWOW64\DllHost.exe"
"18284","dllhost","C:\WINDOWS\system32\DllHost.exe"
"9864","DSRHost",
"1224","dwm",
"5348","esif_uf",
"7788","explorer","C:\WINDOWS\Explorer.EXE"
"10956","ExpressVPN.AppService",
"5172","ExpressVPN.SystemService",
"5164","ExpressVPN.VpnService",
"10100","Fing","C:\Program Files\Fing\Fing.exe"
"5196","fingagent",
