src,target_raw,reason
_Archive/Logs/HANDOFF-archive-2026-09-07.md,06-EVIDENCE/DEEP-WALK-20260829/safe-tests/SAFE-TESTS-RUN-RECEIPT,wikilink_target_not_found
_Archive/docs/math/EQUATION-REGISTRY.md,t,mdlink_target_not_found
_Archive/deploy-preserve-2026-07-31/pre-switch/VERDICT_QUEUE.md,_ops/SESSION-2026-07-27-W1-W5\,wikilink_target_not_found
PRE-0/ROTATION_CHECKLIST.md,04 - Architect System/architect/01-Project/SECRETS-ROTATION-CHECKLIST,wikilink_target_not_found
PRE-0/ROTATION_CHECKLIST.md,04 - Architect System/architect/ARCHITECT_CHARTER,wikilink_target_not_found
PRE-0/ROTATION_CHECKLIST.md,INGEST-EXCLUDED-SECRETS,wikilink_target_not_found
OCTOPUS/ARCHITECTURE-BIBLE.md,events bus,wikilink_target_not_found
OCTOPUS/CURRENT-TRUTH.md,06-EVIDENCE/TELEGRAM-DEEP-DEBUG-2026-08-21/RESTART-CONTROLLED-2026-08-21,wikilink_target_not_found
OCTOPUS/Operations/2026-08-28-L191-Complete-v4/00-MOC.md,01-REPOSITORY-BASELINES,wikilink_target_not_found
OCTOPUS/Operations/2026-08-28-L191-Complete-v4/00-MOC.md,04-T0-REALITY-LOCK,wikilink_target_not_found
OCTOPUS/Operations/2026-08-28-L191-Complete-v4/00-MOC.md,05-RUNTIME-PATH,wikilink_target_not_found
OCTOPUS/Operations/2026-08-28-L191-Complete-v4/00-MOC.md,07-SAFETY-COST-GUARDS,wikilink_target_not_found
node_modules/xml-js/README.md,/synopsis.png?raw=true,mdlink_target_not_found
node_modules/nanoid/README.md,./README.ja.md,mdlink_target_not_found
node_modules/nanoid/README.md,./README.ru.md,mdlink_target_not_found
node_modules/nanoid/README.md,./README.zh-CN.md,mdlink_target_not_found
node_modules/nanoid/README.md,./README.id-ID.md,mdlink_target_not_found
node_modules/nanoid/README.md,./README.ko.md,mdlink_target_not_found
node_modules/nanoid/README.md,./README.ar.md,mdlink_target_not_found
docs/octopus-surgery/09-OWNER-ACTION-RUNBOOK.md,PUBLIC-RECONCILIATION.yaml,wikilink_target_not_found
docs/octopus-surgery/09-OWNER-ACTION-RUNBOOK.md,receipts/verification-03-hermetic-full-suite.json,wikilink_target_not_found
docs/octopus-surgery/09-OWNER-ACTION-RUNBOOK.md,12-90-PERCENT-GATES.yaml,wikilink_target_not_found
docs/octopus-surgery/20-SEASON-2026-0901-RECONCILIATION.md,06-REALITY-MANIFEST,wikilink_target_not_found
docs/octopus-surgery/20-SEASON-2026-0901-RECONCILIATION.md,06-REALITY-MANIFEST,wikilink_target_not_found
docs/octopus-surgery/CHECKPOINT.md,06-REALITY-MANIFEST.yaml,wikilink_target_not_found
docs/octopus-surgery/INDEX.md,06-REALITY-MANIFEST.yaml,wikilink_target_not_found
docs/octopus-surgery/INDEX.md,07-TRACEABILITY-MATRIX.csv,wikilink_target_not_found
docs/octopus-surgery/INDEX.md,receipts/BASELINE-20260830T064824Z.json,wikilink_target_not_found
docs/octopus-surgery/INDEX.md,receipts/COGNITION-AUTHORITY-TESTS-20260830T071344Z.log,wikilink_target_not_found
docs/octopus-surgery/INDEX.md,receipts/SURGERY-COGNITION-AUTHORITY-DENYLIST-20260830T071700Z.json,wikilink_target_not_found
docs/octopus-surgery/specs/DRAWDOWN-ENFORCER-BACKLOG-CONTRACT.md,"old_ts, huge_aud",wikilink_target_not_found
docs/octopus-surgery/specs/DRAWDOWN-ENFORCER-BACKLOG-CONTRACT.md,"old_ts, huge_aud",wikilink_target_not_found
docs/octopus-surgery/specs/DRAWDOWN-ENFORCER-BACKLOG-CONTRACT.md,"old_ts, huge_aud",wikilink_target_not_found
agent-prompts/OCTOPUS-DATAFLOW-WIRING-PROMPT.md,"a,b",wikilink_target_not_found
agent-prompts/_PROJECT_INSTRUCTIONS.md,03 - Projects/Lead-نقاشی/PROJECT\,wikilink_target_not_found
agent-prompts/_PROJECT_INSTRUCTIONS.md,03 - Projects/Ziman Galerry/PROJECT\,wikilink_target_not_found
agent-prompts/_PROJECT_INSTRUCTIONS.md,03 - Projects/Mining/PROJECT\,wikilink_target_not_found
agent-prompts/_PROJECT_INSTRUCTIONS.md,03 - Projects/Crypto - etoro/PROJECT\,wikilink_target_not_found
agent-prompts/_PROJECT_INSTRUCTIONS.md,03 - Projects/Accounting/PROJECT\,wikilink_target_not_found
agent-prompts/_PROJECT_INSTRUCTIONS.md,03 - Projects/اونلی فنز/PROJECT\,wikilink_target_not_found
agent-prompts/_PROJECT_INSTRUCTIONS.md,04 - Architect System/architect/PROJECT\,wikilink_target_not_found
agent-prompts/_PROJECT_INSTRUCTIONS.md,07 - Knowledge/هیپنوتیزم  و خودآگاهی/PROJECT\,wikilink_target_not_found
99-ARCHIVE/nbb-cp-evidence-20260815/NIGHT-SYNC-C008-COLLISION.md,18-SYNC-FINAL-REPORT,wikilink_target_not_found
4d_system/MASTER_UPGRADE_REPORT.md,t,wikilink_target_not_found
4d_system/MASTER_UPGRADE_REPORT.md,t\,wikilink_target_not_found
4d_system/nbb-cp-kre/README-FA.md,wikilink,wikilink_target_not_found
4d_system/nbb-cp-kre/README.md,wikilink,wikilink_target_not_found
4d_system/nbb-cp-kre/REGISTRY.md,wikilink,wikilink_target_not_found
4d_system/docs/B6-SOG-INTEGRATION-STEP1.md,schemas/b6.sog.proposal.v1.json,mdlink_target_not_found
4D-Vault/📎-قالب‌ها/قالب-روزانه.md,...,wikilink_target_not_found
4D-Vault/📎-قالب‌ها/قالب-منبع.md,یادداشت پروژه,wikilink_target_not_found
4D-Vault/📎-قالب‌ها/قالب-منبع.md,X,wikilink_target_not_found
4D-Vault/📎-قالب‌ها/قالب-منبع.md,Y,wikilink_target_not_found
4D-Vault/📎-قالب‌ها/قالب-یادداشت-اتمیک.md,یادداشت۱,wikilink_target_not_found
4D-Vault/📎-قالب‌ها/قالب-یادداشت-اتمیک.md,یادداشت۲,wikilink_target_not_found
4D-Vault/📎-قالب‌ها/قالب-یادداشت-اتمیک.md,جدول-لنگرها,wikilink_target_not_found
4D-Vault/📎-قالب‌ها/قالب-یادداشت-اتمیک.md,X,wikilink_target_not_found
4D-Vault/📎-قالب‌ها/قالب-یادداشت-اتمیک.md,Y,wikilink_target_not_found
